Symbol,Name,Open,Last,Prev_Open,Prev_Last,Open_2D_Ago,Last_2D_Ago,20D_MA,Volume,Industry,Sector
IXI.VN,Indigo Exploration Inc,0.04,0.05,0.045,0.045,0.05,0.05,0.059,26000,N/L,N/A
NDVA.VN,Indiva Ltd,0.21,0.215,0.21,0.215,0.22,0.215,0.227,27810,N/L,Medical
INEO.VN,Ineo Tech Corp,0.185,0.19,0.185,0.185,0.17,0.185,0.196,171300,N/L,Consumer Discretionary
ILI.VN,Infinite Ore Corp,0.085,0.085,0.085,0.095,0.09,0.095,0.09,81921,N/L,Basic Materials
AUCU.CN,Inflection Resources Ltd,0.1,0.1,0.095,0.095,0.095,0.095,0.124,10000,N/L,N/A
INE.TO,Innergex Renewable Energy Inc,17.54,17.21,17.84,17.51,17.3,17.8,17.06,86528,N/L,N/A
INNO.CN,Innocan Pharma Corp,0.53,0.54,0.54,0.55,0.54,0.5,0.549,45200,N/L,N/A
IOT.VN,Innovotech Inc,0.15,0.15,0.15,0.15,0.155,0.15,0.178,6500,N/L,Medical
MINE.VN,Inomin Mines Inc,0.13,0.135,0.14,0.13,0.15,0.14,0.142,17400,N/L,Basic Materials
INO-UN.TO,Inovalis REIT,7.87,8.05,7.89,7.83,7.86,7.83,7.82,53701,N/L,Finance
IPO.TO,Inplay Oil Corp,4.16,4.25,4.06,4.15,4.14,4.1,3.98,194594,N/L,Oils-Energy
ISGI.VN,Insuraguest Technologies Inc,0.145,0.155,0.12,0.145,0.135,0.135,0.151,45000,N/L,Computers and Technology
IFC-PR-K.TO,Intact Financial Corp,23.35,23.05,23.05,23.15,22.95,23,23.21,2400,N/L,N/A
IFC-PR-A.TO,Intact Financial Corp Pref Cl A,19.98,19.99,19.84,19.65,19.68,19.79,19.04,6700,N/L,N/A
IFC-PR-G.TO,Intact Financial Corp Pref Shares Ser 7,23.55,23.55,23.3,23.5,23.25,23.25,22.79,2200,N/L,N/A
ITR.VN,Integra Resources Corp,1.55,1.5,1.54,1.53,1.25,1.48,1.293,18710,N/L,N/A
IFP.TO,Interfor Corp,33.48,33.3,32.82,33.21,31.6,32.74,34.08,49489,N/L,Construction
IMP.TO,Intermap Tech Corp,0.5,0.5,0.5,0.5,0.49,0.5,0.48,6250,N/L,Computers and Technology
IBAT.CN,International Battery Metals Ltd,4.8,4.8,4.91,4.74,4.63,4.625,4.168,97703,N/L,N/A
ILC.VN,International Lithium Corp,0.11,0.11,0.11,0.11,0.115,0.12,0.107,12608,N/L,Basic Materials
IPCO.TO,International Petroleum Corp,13.38,13.78,13.65,13.45,13.51,13.75,12.71,37640,N/L,N/A
IZZ.VN,International Prospect Ventures Ltd,0.08,0.08,0.08,0.08,0.08,0.08,0.098,57500,N/L,Basic Materials
ITH.TO,International Tower Hill Mines Ltd,0.95,0.95,0.97,0.9,0.87,0.93,0.98,500,N/L,Basic Materials
IMCX.CN,Interra Copper Corp,0.55,0.495,0.55,0.425,0.58,0.6,0.615,22644,N/L,N/A
IIP-UN.TO,Interrent Real Estate Investment Trust,13.54,13.75,13.53,13.58,13.37,13.5,13.22,62572,N/L,Finance
ITP.TO,Intertape Polymer,39.25,39.07,39.29,39.24,38.94,39.22,39.17,43128,N/L,Basic Materials
INX.VN,Intouch Insight Ltd,0.55,0.57,0.55,0.55,0.55,0.55,0.632,19000,N/L,Computers and Technology
INTR.VN,Intrepid Metals Corp,0.18,0.18,0.19,0.19,0.19,0.18,0,36501,N/L,N/A
IVQ-DB-V.TO,Invesque Inc 6.00 Pct Debs USD,82.5,82.5,82.5,82,82.5,82.5,82.19,126000,N/L,N/A
IZN.VN,Inzinc Mining Ltd,0.065,0.06,0.065,0.065,0.055,0.065,0.059,25000,N/L,Transportation
ICY-P.VN,Iocaste Ventures Inc,0.5,0.5,0.55,0.5,0.5,0.5,0,26000,N/L,N/A
ION.VN,ION Energy Ltd,0.335,0.34,0.32,0.32,0.36,0.33,0.346,5500,N/L,Basic Materials
IOU.VN,Iou Financial Inc,0.195,0.195,0.195,0.195,0.185,0.185,0.178,23499,N/L,Finance
ISO.VN,Isoenergy Ltd,3.41,3.61,3.44,3.51,3.21,3.41,3.483,20318,N/L,N/A
IFOS.VN,Itafos,2.84,2.98,2.8,2.79,2.75,2.77,2.915,207131,N/L,Basic Materials
IVN.TO,Ivanhoe Mines Ltd,9.99,9.95,10.02,9.95,9.85,9.94,9.88,177065,N/L,Basic Materials
IZO.CN,Izotropic Corp,0.56,0.61,0.54,0.59,0.53,0.54,0.607,31380,N/L,N/A
JNH.VN,Jack Nathan Medical Corp,0.13,0.13,0.14,0.14,0.13,0.13,0.179,10195,N/L,Medical
JJ.VN,Jackpot Digital Inc,0.07,0.07,0.07,0.07,0.07,0.07,0.077,6000,N/L,Consumer Discretionary
JAG.TO,Jaguar Mining Inc,3.13,3.06,3.03,3.01,3,3,3.21,8084,N/L,Basic Materials
JBR.CN,James Bay Resources Ltd,0.085,0.085,0.09,0.09,0.09,0.09,0.08,11000,N/L,N/A
JWEL.TO,Jamieson Wellness Inc,34.79,34.48,34.42,34.58,33.97,34.42,33.68,25622,N/L,Consumer Staples
JG.VN,Japan Gold Corp,0.3,0.27,0.265,0.27,0.28,0.275,0.269,76629,N/L,Basic Materials
JPIM.VN,Jasper Commerce Inc,0.21,0.19,0.25,0.21,0.23,0.25,0.212,36000,N/L,N/A
JSP-H.VN,Jasper Mining Corp,0.11,0.11,0.11,0.11,0.1,0.1,0.083,16000,N/L,N/A
JDN.VN,Jayden Resources Inc,0.2,0.2,0.245,0.2,0.205,0.185,0.235,6000,N/L,N/A
JZR.VN,Jazz Resources Inc,0.8,0.78,0.8,0.83,0.75,0.77,0.774,17000,N/L,Basic Materials
JRV.VN,Jervois Mining Ltd,0.74,0.77,0.72,0.73,0.78,0.77,0.742,24647,N/L,N/A
JSDA.CN,Jones Soda CO,0.245,0.4,0.305,0.31,0.255,0.29,0.363,33663,N/L,N/A
JOR.VN,Jourdan Resources Inc,0.06,0.06,0.06,0.055,0.055,0.06,0.051,51000,N/L,Basic Materials
JOY.TO,Journey Energy Inc,7.05,7.58,7.1,6.9,6.9,7.13,5.66,328315,N/L,Oils-Energy
JUGR.VN,Juggernaut Exploration Ltd,0.135,0.125,0.145,0.135,0.16,0.145,0.149,28850,N/L,Basic Materials
JEC.VN,Jura Energy Corp,0.09,0.09,0.11,0.11,0.075,0.075,0.116,50000,N/L,N/A
JUSH.CN,Jushi Holdings Inc Class B Subordinate,2.28,2.27,2.45,2.26,2.37,2.42,2.528,15187,N/L,N/A
JUSH-DB-U.CN,Jushi Holdings Inc.10% 15Jan23,97,97,96,96,96,96,0,100000,N/L,N/A
JE-H.VN,Just Energy Group Inc,0.235,0.235,0.22,0.23,0.23,0.21,0,1085,N/L,N/A
JK.VN,Just Kitchen Holdings Corp,0.54,0.55,0.54,0.53,0.57,0.54,0.465,27787,N/L,Consumer Discretionary
JUVA.CN,Juva Life Inc,0.225,0.22,0.225,0.225,0.32,0.255,0.233,8140,N/L,N/A
AKMY.VN,K B Recycling Industries Ltd,0.18,0.18,0.18,0.18,0.185,0.175,0.209,128925,N/L,Industrial Products
KTO.VN,K2 Gold Corp,0.155,0.165,0.145,0.145,0.16,0.155,0.164,28000,N/L,Basic Materials
KNC.VN,K9 Gold Corp,0.11,0.11,0.13,0.115,0.12,0.115,0.133,13046,N/L,Basic Materials
KNT.TO,K92 Mining Inc,8.85,8.825,8.79,8.89,8.74,8.73,8.65,52104,N/L,Basic Materials
KRL.VN,Kainantu Resources Ltd,0.1,0.12,0.115,0.1,0.12,0.12,0.144,115000,N/L,Basic Materials
KAPA.VN,Kapa Gold Corp,0.25,0.25,0.3,0.3,0,0,0,10000,N/L,N/A
KRN.TO,Karnalyte Resources Inc,0.62,0.59,0.58,0.6,0.57,0.57,0.59,6388,N/L,Basic Materials
KRR.TO,Karora Resources Inc,4.97,4.93,4.85,4.94,4.79,4.8,5.51,131370,N/L,Basic Materials
FUND.VN,Katipult Technology Corp,0.1,0.1,0.1,0.1,0.095,0.105,0.103,15000,N/L,Computers and Technology
KYS-H.VN,Kaymus Resources Inc,0.085,0.09,0.08,0.08,0.095,0.1,0.087,30000,N/L,N/A
KDA.VN,Kda Group Inc,0.095,0.1,0.09,0.08,0.09,0.08,0.1,30000,N/L,Medical
KLS.TO,Kelso Technologies Inc,0.44,0.44,0.41,0.41,0.43,0.43,0.4642,14380,N/L,Transportation
KEL.TO,Kelt Exploration Ltd,7.24,7.25,6.98,7.13,6.99,6.97,6.63,310739,N/L,Oils-Energy
KEN.VN,Kenadyr Mining Holdings Corp,0.09,0.09,0.09,0.09,0.1,0.1,0.105,5714,N/L,Basic Materials
KLD.VN,Kenorland Minerals Ltd,0.7,0.72,0.7,0.7,0.73,0.72,0.72,28500,N/L,Basic Materials
KES.VN,Kesselrun Resources Ltd,0.06,0.06,0.06,0.065,0.055,0.05,0.068,10750,N/L,Basic Materials
KGC.VN,Kestrel Gold Inc,0.075,0.075,0.085,0.085,0.08,0.08,0.08,51410,N/L,Basic Materials
KEY.TO,Keyera Corp,33.99,33.87,33.58,33.72,33.56,33.52,32.76,109962,N/L,Oils-Energy
KGL.VN,Kgl Resources Ltd,0.13,0.13,0.12,0.115,0.12,0.13,0.148,5100,N/L,Basic Materials
KHRN.VN,Khiron Life Sciences Corp,0.155,0.165,0.155,0.15,0.155,0.15,0.154,21503,N/L,Medical
KIDZ.VN,Kidoz Inc,0.44,0.44,0.44,0.44,0.42,0.42,0.447,8893,N/L,Computers and Technology
KMP-UN.TO,Killam Apartment REIT,19.09,19.13,18.92,19.04,18.98,18.85,18.84,28305,N/L,Finance
KFR.VN,Kingfisher Metals Corp,0.275,0.255,0.275,0.28,0.265,0.26,0.225,170499,N/L,N/A
KBG-H.VN,Kings Bay Resources Corp,0.08,0.08,0.08,0.06,0.065,0.075,0.061,27000,N/L,Basic Materials
K.TO,Kinross Gold Corp,5.78,5.735,5.91,5.79,5.81,5.85,5.88,618136,N/L,Basic Materials
KTR.VN,Kintavar Exploration Inc,0.085,0.085,0.08,0.075,0.08,0.08,0.09,8000,N/L,Basic Materials
KITS.TO,Kits Eyecare Ltd,2.06,2.04,2.06,2.03,2.08,2.08,2.12,17001,N/L,Consumer Discretionary
KEC.TO,Kiwetinohk Energy Corp,13.82,13.28,13.22,13.28,12.93,13.19,12.43,26178,N/L,N/A
KG.VN,Klondike Gold Corp,0.155,0.155,0.15,0.15,0.155,0.15,0.155,39000,N/L,Basic Materials
KS.VN,Klondike Silver Corp,0.06,0.055,0.06,0.06,0.055,0.06,0.059,13750,N/L,Basic Materials
KSI.TO,Kneat.com Inc,2.79,2.9,2.85,2.88,2.78,2.84,2.87,358600,N/L,Medical
GUD.TO,Knight Therapeutics Inc,5.39,5.41,5.33,5.39,5.39,5.35,5.3,46894,N/L,Medical
KDK.VN,Kodiak Copper Corp,1.33,1.33,1.28,1.28,1.22,1.27,1.276,13863,N/L,N/A
FIT.CN,Koios Beverage Corp,0.09,0.09,0.11,0.085,0.145,0.11,0.268,1538614,N/L,N/A
YUM.CN,Komo Plant Based Foods Inc,0.05,0.06,0.05,0.05,0.055,0.053,0.056,149090,N/L,N/A
KNR.NE,Kontrol Technologies Corp,1.4,1.4,1.32,1.37,1.3,1.32,1.313,6062,N/L,N/A
KTN.VN,Kootenay Silver Inc,0.135,0.13,0.14,0.135,0.13,0.135,0.143,38760,N/L,Basic Materials
KORE.VN,Kore Mining Ltd,0.25,0.24,0.245,0.25,0.255,0.25,0.252,60500,N/L,Basic Materials
PNG.VN,Kraken Robotics Inc,0.35,0.355,0.34,0.325,0.335,0.33,0.353,20178,N/L,Industrial Products
KUR-H.VN,Kure Technologies Inc,0.135,0.105,0.135,0.135,0.15,0.15,0.158,21609,N/L,N/A
KUYA.CN,Kuya Silver Corp,0.7,0.67,0.74,0.68,0.72,0.75,0.744,16264,N/L,N/A
KWE.VN,Kwesst Micro Systems Inc,0.335,0.34,0.345,0.34,0.35,0.34,0.4,20500,N/L,Aerospace
KWG.CN,Kwg Resources Inc,0.05,0.05,0.05,0.05,0.05,0.055,0.056,195573,N/L,N/A
LAB.VN,Labrador Gold Corp,0.53,0.495,0.52,0.53,0.5,0.52,0.552,65354,N/L,Basic Materials
LIF.TO,Labrador Iron Ore Royalty Corp,33.61,33.71,33.75,33.6,33.11,33.44,32.43,100498,N/L,Basic Materials
LUR.CN,Labrador Uranium Inc,0.62,0.79,0.55,0.59,0.68,0.62,0.721,8296,N/L,N/A
LRA.VN,Lara Exploration Ltd,0.75,0.77,0.75,0.75,0.75,0.75,0.732,30000,N/L,Basic Materials
LAM.TO,Laramide Resources Ltd,0.5,0.52,0.485,0.49,0.48,0.48,0.498,113151,N/L,Basic Materials
LGO.TO,Largo Resources Ltd,11.13,11.15,11.48,11.17,11.26,11.38,10.96,9526,N/L,Basic Materials
LMS.VN,Latin Metals Inc,0.105,0.105,0.105,0.105,0.11,0.11,0.127,7500,N/L,Basic Materials
LB.TO,Laurentian Bank,38.25,38.64,38.5,38.25,38,38.45,38.08,29623,N/L,N/A
LME.VN,Laurion Mineral Exploration Inc,0.97,0.97,0.96,0.97,0.97,0.97,0.978,49341,N/L,Basic Materials
LGC.VN,Lavras Gold Corp,0.04,0.055,0.045,0.045,0.035,0.04,0.045,325502,N/L,N/A
LDB-P.VN,Ldb Capital Corp,0.2,0.2,0.215,0.215,0.25,0.25,0,10000,N/L,N/A
LEM.VN,Leading Edge Materials Corp,0.33,0.335,0.4,0.33,0.345,0.35,0.378,5862,N/L,Basic Materials
READ.CN,Legible Inc.,0.135,0.12,0.145,0.14,0.155,0.14,0.126,10276,N/L,N/A
LECR.CN,Leocor Gold Inc,0.36,0.36,0.35,0.34,0.35,0.35,0.352,20330,N/L,N/A
LTV.VN,Leonovus Inc,0.13,0.145,0.14,0.13,0.155,0.15,0.161,32345,N/L,Computers and Technology
LNF.TO,Leons Furniture,17.21,17.53,16.92,17.07,16.2,16.85,17.44,12770,N/L,Consumer Discretionary
LXE.VN,Leucrotta Exploration Inc,2.16,2.21,2.19,2.19,2.16,2.2,2.14,65493,N/L,Oils-Energy
JUMP.VN,Leveljump Healthcare Corp,0.14,0.14,0.145,0.14,0.15,0.15,0.123,5666,N/L,Medical
EPIC.CN,Leviathan Natural Products Inc,0.99,1,0.89,0.89,0.95,0.89,0.826,87900,N/L,N/A
LXG.VN,Lexagene Holdings Inc,0.185,0.195,0.185,0.185,0.19,0.195,0.203,22500,N/L,Medical
LBC.VN,Libero Copper & Gold Corp,0.43,0.415,0.4,0.43,0.42,0.4,0.521,42006,N/L,N/A
SCAN.VN,Liberty Defense Holdings Ltd,0.415,0.4,0.425,0.43,0.39,0.435,0.396,43167,N/L,Industrial Products
LGD.TO,Liberty Gold Corp,0.62,0.58,0.64,0.59,0.58,0.62,0.61,266099,N/L,Basic Materials
LBS-PR-A.TO,Life & Banc Split Corp,10.01,10.07,9.95,10.04,9.93,9.94,9.94,7300,N/L,Finance
LBS.TO,Life & Banc Split Corp,10.22,10.2,10,10.22,9.75,10,9.52,39036,N/L,Finance
LSPK.TO,Lifespeak Inc,1.78,2.29,1.56,1.7,1.55,1.56,2.32,149963,N/L,Computers and Technology
LWRK.TO,Lifeworks Inc,17.65,17.565,16.45,17.62,15.59,16.5,17.4,62014,N/L,Computers and Technology
LSPD.TO,Lightspeed Commerce Inc.,33.5,34.86,32.5,32.96,28.85,31.85,27.25,1097530,N/L,Computers and Technology
LSD-H.VN,Lightspeed Discoveries Inc,0.075,0.05,0.05,0.05,0.075,0.075,0.07,22000,N/L,N/A
LNR.TO,Linamar Corp,53.31,54.23,52.41,52.87,52.13,52.34,50.81,49250,N/L,Auto-Tires-Trucks
LMG.VN,Lincoln Gold Mining Inc,0.055,0.05,0.06,0.06,0.06,0.065,0.08,169808,N/L,Basic Materials
LEO.VN,Lion Copper & Gold Corp,0.095,0.09,0.09,0.09,0.09,0.09,0.083,40200,N/L,Basic Materials
LEV.TO,Lion Electric CO [The],7.4,7.65,6.99,7.22,6.8,6.97,7.2,186024,N/L,Industrial Products
LIO.VN,Lion One Metals Ltd,1.02,1.02,1.07,1.02,1.04,1.09,1.022,12176,N/L,Basic Materials
LQID.CN,Liquid Avatar Technologies Inc,0.065,0.065,0.07,0.065,0.07,0.065,0.076,113600,N/L,N/A
LIQD.NE,Liquid Meta Capital Holdings Ltd.,0.35,0.35,0.35,0.34,0.35,0.35,0.408,20001,N/L,N/A
LTE.VN,Lite Access Technologies Inc,0.07,0.07,0.065,0.07,0.07,0.07,0.079,96465,N/L,Industrial Products
LAC.TO,Lithium Americas Corp,36.11,36.15,34.65,35.78,31.82,34.53,31.61,287476,N/L,Basic Materials
LITH.VN,Lithium Chile Inc,0.73,0.72,0.69,0.71,0.73,0.69,0.749,118112,N/L,Basic Materials
LTH.VN,Lithium Ionic Corp,1.25,1.2,1.11,1.22,0.95,1.12,0,108625,N/L,N/A
LONE.VN,Lithium One Metals Inc,0.205,0.205,0.26,0.26,0.265,0.265,0.259,9669,N/L,N/A
LIS.VN,Lithium South Development Corp,0.65,0.63,0.58,0.65,0.61,0.6,0.614,9206,N/L,Basic Materials
LBNK.VN,Lithiumbank Resources Corp,1.18,1.14,1.15,1.2,1.05,1.17,1.105,31985,N/L,N/A
LDI.VN,Lithoquest Resources Inc,0.145,0.145,0.155,0.15,0.155,0.15,0.147,23000,N/L,N/A
L-PR-B.TO,Loblaw Companies Ltd 2nd Pref Ser B,23.74,23.75,23.5,23.75,23.6,23.6,23.72,9302,N/L,N/A
LGIQ.NE,Logiq Inc,0.51,0.51,0.495,0.52,0.5,0.495,0.627,1000,N/L,N/A
LMR.VN,Lomiko Metals Inc,0.065,0.065,0.06,0.06,0.06,0.055,0.061,113335,N/L,Basic Materials
LN.TO,Loncor Gold Inc,0.5,0.5,0.47,0.51,0.5,0.45,0.45,17420,N/L,Basic Materials
NFTX.NE,Looking Glass Labs Ltd.,0.24,0.22,0.25,0.25,0.26,0.25,0.282,54546,N/L,N/A
LPEN.TO,Loop Energy Inc,2.09,2.1,2.04,2.05,2.03,2.01,2.18,17046,N/L,N/A
LOWL.CN,Lowell Farms Inc,0.325,0.325,0.35,0.365,0.35,0.315,0.333,28494,N/L,N/A
LQWD.VN,Lqwd Fintech Corp,0.14,0.15,0.14,0.14,0.13,0.13,0.134,41000,N/L,Computers and Technology
LUC.TO,Lucara Diamond Corp,0.61,0.61,0.62,0.61,0.62,0.63,0.61,37910,N/L,Basic Materials
LKY.VN,Lucky Minerals Inc,0.08,0.075,0.075,0.09,0.065,0.065,0.075,153000,N/L,Basic Materials
LUM.VN,Lumina Gold Corp,0.53,0.53,0.52,0.54,0.52,0.52,0.534,15100,N/L,Basic Materials
LR.VN,Luminex Resources Corp,0.35,0.36,0.345,0.35,0.36,0.35,0.367,11000,N/L,Basic Materials
LUG.TO,Lundin Gold Inc,10.43,10.35,10.89,10.48,10.98,10.93,10.31,28732,N/L,Basic Materials
LUN.TO,Lundin Mining Corp,11.04,11.24,11.07,11.05,10.89,10.93,10.73,486997,N/L,Basic Materials
LUXX.CN,Luxxfolio Holdingsinc,0.21,0.215,0.21,0.2,0.19,0.2,0.201,37825,N/L,N/A
MT.VN,M3 Metals Corp,0.055,0.055,0.07,0.07,0.065,0.065,0.081,60000,N/L,Basic Materials
MMS.VN,Macarthur Minerals Ltd,0.3,0.295,0.31,0.3,0.31,0.31,0.329,18500,N/L,Basic Materials
GREN.CN,Madison Metals Inc.,0.37,0.33,0.36,0.3,0.39,0.38,0,25640,N/L,N/A
MDM.VN,Madoro Metals Corp,0.065,0.065,0.065,0.065,0.06,0.065,0.064,28000,N/L,N/A
MAG.TO,MAG Silver Corp,18.91,18.84,18.96,18.92,18.84,18.86,18.14,9189,N/L,Basic Materials
MAL.TO,Magellan Aero,7.58,7.3,7.51,7.6,7.58,7.52,8.3,36992,N/L,Aerospace
MGR.VN,Magna Gold Corp,0.375,0.29,0.38,0.38,0.38,0.37,0.412,191539,N/L,Basic Materials
MG.TO,Magna International Inc,81.58,82.5,80.58,81.38,79.87,80.12,78.15,136366,N/L,Auto-Tires-Trucks
NICU.VN,Magna Mining Inc,0.39,0.4,0.405,0.39,0.41,0.4,0.412,39000,N/L,Basic Materials
MTT.VN,Magna Terra Minerals Inc,0.095,0.095,0.095,0.095,0.095,0.09,0.096,9000,N/L,Basic Materials
MAGT.TO,Magnet Forensics Inc,17.86,17.31,17.19,17.32,16.6,17,19.23,26323,N/L,Computers and Technology
MGI.VN,Magnum Goldcorp Inc,0.06,0.065,0.06,0.06,0.04,0.06,0.054,190500,N/L,Basic Materials
MJS.VN,Majestic Gold Corp,0.055,0.055,0.055,0.055,0.055,0.055,0.057,85000,N/L,Basic Materials
MDI.TO,Major Drilling Grp,10.64,11.04,10.57,10.66,10.54,10.51,10.52,56110,N/L,Basic Materials
SIZE.NE,Major Precious Metals Corp,0.085,0.085,0.08,0.085,0.075,0.08,0.091,59004,N/L,N/A
MKO.VN,Mako Mining Corp,0.295,0.295,0.3,0.29,0.29,0.285,0.31,8004,N/L,Basic Materials
MN.VN,Manganese X Energy Corp,0.33,0.33,0.37,0.34,0.335,0.355,0.372,35558,N/L,Basic Materials
MANN.CN,Manning Ventures Inc,0.075,0.08,0.08,0.075,0.065,0.08,0.068,285000,N/L,N/A
MNTR.VN,Mantaro Precious Metals Corp,0.125,0.125,0.13,0.125,0.135,0.13,0.141,26510,N/L,N/A
MFC.TO,Manulife Fin,23.35,23.355,23.11,23.16,22.99,23.11,23.57,1251687,N/L,Finance
MGM.VN,Maple Gold Mines Ltd,0.205,0.2,0.2,0.205,0.22,0.205,0.21,87500,N/L,Basic Materials
MFI.TO,Maple Leaf Foods,27.94,28.01,27.52,27.79,27.07,27.5,27.32,18877,N/L,Consumer Staples
MGW.CN,Maple Leaf Green World Inc,0.105,0.11,0.11,0.105,0.1,0.1,0.111,38025,N/L,N/A
MOZ.TO,Marathon Gold Corp,1.82,1.82,1.88,1.82,1.89,1.86,2.03,134607,N/L,Basic Materials
DIA.VN,Margaret Lake Diamonds Inc,0.16,0.16,0.16,0.15,0.17,0.16,0.18,48250,N/L,N/A
MARI.TO,Marimaca Copper Corp,3.86,3.84,3.77,3.84,3.82,3.81,3.71,8831,N/L,Basic Materials
MAXQ.NE,Maritime Launch Services Inc.,0.16,0.18,0.18,0.18,0.18,0.175,0.184,37826,N/L,N/A
MAE.VN,Maritime Resources Corp,0.075,0.075,0.075,0.075,0.075,0.075,0.076,89010,N/L,Basic Materials
MAH.VN,Marksmen Energy Inc,0.055,0.055,0.055,0.05,0.055,0.055,0.06,20000,N/L,Oils-Energy
MRE.TO,Martinrea International Inc,9.3,9.6,9.32,9.56,9.12,9.26,8.74,53760,N/L,Auto-Tires-Trucks
MARV.VN,Marvel Discovery Corp,0.125,0.125,0.115,0.115,0.12,0.12,0.137,14000,N/L,Basic Materials
MAR-UN.VN,Marwest Apartment REIT,0.8,0.77,0.83,0.83,0.81,0.81,0.846,10700,N/L,Finance
MAS.VN,Mas Gold Corp,0.08,0.08,0.08,0.08,0.08,0.08,0.085,10000,N/L,Basic Materials
MCM-A.VN,Matachewan Cons Mines,0.24,0.24,0.24,0.24,0.24,0.24,0.213,5500,N/L,Basic Materials
MAV.TO,Mav Beauty Brands Inc,0.9,0.9,0.88,0.85,0.78,0.85,0.73,6360,N/L,Consumer Discretionary
MMX.TO,Maverix Metals Inc,5.51,5.67,5.57,5.72,5.45,5.58,5.53,14560,N/L,N/A
MAW.TO,Mawson Resources Ltd,0.21,0.195,0.125,0.135,0.13,0.135,0.1273,2401289,N/L,N/A
MAX.VN,Max Resource Corp,0.67,0.68,0.62,0.66,0.68,0.61,0.598,115695,N/L,N/A
MLKM.CN,Mayo Lake Minerals Inc.,0.185,0.17,0.2,0.17,0.17,0.19,0,23674,N/L,N/A
MKP.TO,Mcan Mortgage Corp,17.98,18.16,18.08,18.01,17.94,18.13,17.61,25628,N/L,N/A
MCS.VN,Mcchip Resources Inc,0.75,0.73,1,0.77,1.14,1.15,0.813,9729,N/L,Oils-Energy
MCB.TO,Mccoy Global Inc,0.99,1.05,0.95,1,0.97,0.96,0.98,16000,N/L,Oils-Energy
MUX.TO,Mcewen Mining Inc,0.8,0.74,0.76,0.77,0.67,0.74,0.72,42561,N/L,N/A
MDA.TO,Mda Ltd,9.39,9.37,9.11,9.33,8.9,9.15,9.01,21559,N/L,Aerospace
MDF.TO,Mdf Commerce Inc,2.63,2.85,2.55,2.65,2.5,2.57,2.61,45294,N/L,Computers and Technology
MEDA.CN,Medaro Mining Corp,0.51,0.49,0.56,0.53,0.51,0.5,0.571,120552,N/L,N/A
MDP-DB.TO,Medexus Pharmaceuticals Inc 6.0 Pct Debs,98,98,97.5,97.5,96,96,99.88,13000,N/L,N/A
MVP.TO,Mediavalet Inc,1.25,1.37,1.25,1.25,1.27,1.25,1.35,19205,N/L,Computers and Technology
DR.TO,Medical Facilities Corp,8.39,8.39,8.42,8.35,8.3,8.41,9.02,17778,N/L,Medical
MDNA.TO,Medicenna Therapeutics Corp,1.3,1.27,1.28,1.29,1.26,1.18,1.34,7115,N/L,Medical
LABS.TO,Medipharm Labs Corp,0.075,0.08,0.08,0.075,0.075,0.075,0.0905,123245,N/L,Medical
MMEN.CN,Medmen Enterprises Inc Class B Subordin,0.1,0.095,0.115,0.11,0.105,0.12,0.122,637942,N/L,N/A
MIR.VN,Medmira Inc,0.1,0.1,0.105,0.095,0.105,0.105,0.1,10500,N/L,Medical
MDX.VN,Medx Health Corp,0.06,0.06,0.06,0.06,0.055,0.06,0.061,22500,N/L,Medical
MEG.TO,Meg Energy Corp,22.16,22.49,21.64,21.96,22,21.82,20.45,736276,N/L,Oils-Energy
MGA.TO,Mega Uranium Ltd,0.24,0.255,0.24,0.245,0.23,0.245,0.252,648134,N/L,N/A
MEGA.CN,Megawatt Lithium & Battery Metals Corp,0.115,0.11,0.105,0.11,0.11,0.105,0.111,21500,N/L,N/A
MR-DB-B.TO,Melcor REIT 5.1 Pct Debs,99.69,99.75,100,100,99,98.21,99.75,41999,N/L,N/A
RNCH.VN,Melior Resources Inc,0.18,0.17,0.215,0.18,0.22,0.22,0.214,16500,N/L,Basic Materials
MENE.VN,Mene Inc,0.54,0.56,0.54,0.54,0.56,0.54,0.609,23742,N/L,Consumer Discretionary
ESPN.VN,Merida Minerals Inc,0.1,0.1,0.125,0.12,0.11,0.11,0.129,35000,N/L,N/A
MNO.TO,Meridian Mining UK Societas,0.75,0.74,0.73,0.75,0.72,0.71,0.79,80990,N/L,Basic Materials
MVRS.NE,Meta Cdr [Cad Hedged],11.69,11.58,11.17,11.35,10.58,11.16,11.507,12958,N/L,N/A
MERG.VN,Metal Energy Corp,0.085,0.095,0.08,0.08,0.08,0.085,0.102,30000,N/L,N/A
MTX.VN,Metalex Ventures Ltd,0.05,0.05,0.05,0.05,0.045,0.05,0.045,28000,N/L,N/A
MTA.VN,Metalla Royalty & Streaming Ltd,7.04,7.16,7.04,6.97,7,6.99,7.077,10495,N/L,N/A
MMG.VN,Metallic Minerals Corp,0.335,0.34,0.335,0.335,0.33,0.33,0.365,11000,N/L,N/A
MTS.VN,Metallis Resources Inc,0.235,0.23,0.23,0.25,0.215,0.23,0.223,117165,N/L,Basic Materials
MZN.VN,Metallum Resources Inc,0.06,0.06,0.06,0.06,0.06,0.06,0.06,24507,N/L,N/A
MEK.VN,Metals Creek Resources Corp,0.14,0.15,0.145,0.15,0.16,0.16,0.136,203500,N/L,Basic Materials
MX.TO,Methanex Corp,64.66,65,62.74,64.46,62.65,62.73,64.03,57087,N/L,Basic Materials
