Symbol,Name,Open,Last,Prev_Open,Prev_Last,Open_2D_Ago,Last_2D_Ago,20D_MA,Volume,Industry,Sector
DBM-NT.TO,Doman Build Materials Grp 6.375 Pct Note,99.81,99.81,99.81,99.81,99.85,99.8,100.36,15000,N/L,N/A
DBM.TO,Doman Building Materials Group Ltd.,7.15,7.26,7.07,7.04,6.74,7.04,7.02,165329,N/L,Construction
DLCG.TO,Dominion Lending Centres Inc,3.25,3.25,3.22,3.25,3.22,3.22,3.36,14950,N/L,N/A
DCMC.VN,Dore Copper Mining Corp,0.61,0.6,0.57,0.6,0.57,0.57,0.612,24000,N/L,Basic Materials
DII-B.TO,Dorel Industries Inc Cl B Sv,6.92,7.05,6.97,7.13,7.09,6.97,7.15,5463,N/L,Consumer Discretionary
DBG.VN,Doubleview Gold Corp,0.265,0.235,0.255,0.265,0.25,0.25,0.263,13287,N/L,Basic Materials
MPCT-UN.TO,Dream Impact Trust Units,5.96,6.01,5.95,6.02,5.9,5.94,5.81,19175,N/L,Finance
DIR-UN.TO,Dream Industrial REIT,14.19,14.15,14.13,14.18,13.94,13.99,13.95,214115,N/L,Finance
D-UN.TO,Dream Office REIT,23.12,23.2,23.14,23.33,23.28,23.03,23.4,24949,N/L,Finance
DRM.TO,Dream Unlimited Corp,44.27,44.45,44.4,44.44,43.79,44.35,44.94,13357,N/L,N/A
DHT-UN.TO,Dri Healthcare Trust,7.16,7.15,7.2,7.16,7.22,7.22,7.17,9750,N/L,N/A
DHT-U.TO,Dri Healthcare Trust USD,5.5,5.5,5.45,5.45,5.29,5.5,6.02,7000,N/L,Medical
FLT.VN,Drone Delivery Canada Corp,0.53,0.52,0.52,0.53,0.52,0.52,0.517,70191,N/L,Computers and Technology
FLT-WT-B.VN,Drone Delivery Canada Corp WT B,0.06,0.06,0.025,0.03,0.015,0.02,0.047,20000,N/L,N/A
DPM.TO,Dundee Precious Metals Inc,7.86,7.885,7.88,7.82,7.81,7.83,7.62,70382,N/L,Basic Materials
DGO.VN,Durango Resources Inc,0.06,0.065,0.07,0.06,0.075,0.075,0.069,54000,N/L,Basic Materials
DND.TO,Dye & Durham Ltd,21.99,23.25,21.64,21.93,20.45,21.63,19.58,55708,N/L,Computers and Technology
DYA.TO,Dynacert Inc,0.135,0.135,0.14,0.135,0.135,0.14,0.1332,28181,N/L,N/A
DNG.TO,Dynacor Gold Mines Inc,3.15,3.16,3.18,3.12,3.17,3.15,3.07,9700,N/L,Basic Materials
ENS.TO,E Split Corp,16.79,16.9,16.53,16.8,16.24,16.55,15.91,38207,N/L,Finance
REE.VN,E Tech Resources Inc,0.12,0.12,0.1,0.1,0.11,0.11,0.15,5000,N/L,Basic Materials
ETU.VN,E2Gold Inc,0.06,0.055,0.055,0.06,0.05,0.055,0.059,32500,N/L,Basic Materials
ETMC.VN,E3 Metals Corp,2.06,2.08,2.06,2.09,2.05,2.07,2.257,18703,N/L,Basic Materials
